filename,ddg_join_ads,third_party_cookies,canvas_fingerprinting,session_recording,key_logging,fb_pixel,google_analytics
msp.gov.ua_,1,0,0,0,0,0,0
www.zoda.gov.ua_,1,0,0,0,0,0,0
mkip.gov.ua_,4,1,0,0,0,0,0
rada.crimea.ua_,1,0,0,0,0,0,0
www.rv.gov.ua_,1,0,0,0,0,0,0
carpathia.gov.ua_,1,0,0,0,0,0,0
www.kor.gov.ua_,0,0,0,0,0,0,0
mva.gov.ua_,1,0,0,0,0,0,0
cg.gov.ua_,4,0,0,0,0,0,0
mms.gov.ua_,0,0,0,0,0,0,0
voladm.gov.ua_,1,0,0,0,0,0,0
mepr.gov.ua_,0,0,0,0,0,0,0
www.loda.gov.ua_,4,5,1,0,0,0,0
zt.gov.ua_,0,0,0,0,0,0,0
www.mk.gov.ua_,2,0,0,0,0,0,0
sm.gov.ua_,0,0,0,0,0,0,0
oda.od.gov.ua_,1,0,0,0,0,0,0
www.if.gov.ua_,1,0,0,0,0,0,0
dn.gov.ua_,1,0,0,0,0,0,0
thedigital.gov.ua_,5,1,0,0,0,1,0
bukoda.gov.ua_,1,0,0,0,0,0,0
kharkivoda.gov.ua_,4,5,0,0,0,0,0
www.oblradack.gov.ua_,0,0,0,0,0,0,0
mspu.gov.ua_,1,0,0,0,0,0,0
www.vin.gov.ua_,1,0,0,0,0,0,0
