Name	Govdirectory URL	Type	Website	source_file
Ministry of Agriculture and Fisheries	https://www.govdirectory.org/east-timor/Q96475169/	ministry of Timor-Leste	https://www.maf.gov.tl/tl/	East Timor
Ministry of Defense of East Timor	https://www.govdirectory.org/east-timor/Q25443468/	ministry of Timor-Leste	https://defesa.gov.tl/	East Timor
Ministry of Economic Affairs	https://www.govdirectory.org/east-timor/Q110819153/	ministry of Timor-Leste		East Timor
Ministry of Education, Youth and Sport	https://www.govdirectory.org/east-timor/Q96035143/	ministry of Timor-Leste	http://moe.gov.tl/pt/	East Timor
Ministry of Finance	https://www.govdirectory.org/east-timor/Q6866933/	ministry of Timor-Leste	https://www.mof.gov.tl/	East Timor
Ministry of Foreign Affairs and Cooperation	https://www.govdirectory.org/east-timor/Q85785727/	ministry of Timor-Leste		East Timor
Ministry of Health	https://www.govdirectory.org/east-timor/Q95214176/	ministry of Timor-Leste	http://www.ms.gov.tl/en	East Timor
Ministry of Higher Education, Science and Culture	https://www.govdirectory.org/east-timor/Q110639612/	ministry of Timor-Leste	https://mescc.gov.tl/	East Timor
Ministry of Justice	https://www.govdirectory.org/east-timor/Q95742870/	ministry of Timor-Leste	http://www.mj.gov.tl/	East Timor
Ministry of Parliamentary Affairs and Media	https://www.govdirectory.org/east-timor/Q110812449/	ministry of Timor-Leste		East Timor
Ministry of Petroleum and Minerals	https://www.govdirectory.org/east-timor/Q100793507/	ministry of Timor-Leste	http://mpm.gov.tl/en/	East Timor
Ministry of Planning and Territory	https://www.govdirectory.org/east-timor/Q110556228/	ministry of Timor-Leste		East Timor
Ministry of Public Works	https://www.govdirectory.org/east-timor/Q110647095/	ministry of Timor-Leste	https://mop.gov.tl/	East Timor
Ministry of Social Solidarity and Inclusion	https://www.govdirectory.org/east-timor/Q110552016/	ministry of Timor-Leste	http://mss.gov.tl/	East Timor
Ministry of State Administration	https://www.govdirectory.org/east-timor/Q110515519/	ministry of Timor-Leste	https://estatal.gov.tl/	East Timor
Ministry of Tourism, Trade and Industry	https://www.govdirectory.org/east-timor/Q25427311/	ministry of Timor-Leste	https://mtci.gov.tl/	East Timor
Ministry of Transport and Communications	https://www.govdirectory.org/east-timor/Q110182464/	ministry of Timor-Leste	http://www.mtc.gov.tl/	East Timor
Ministry of Veterans Affairs	https://www.govdirectory.org/east-timor/Q110812463/	ministry of Timor-Leste	https://www.macln.gov.tl/	East Timor
Ministry of the Interior	https://www.govdirectory.org/east-timor/Q96279373/	ministry of Timor-Leste	http://www.minterior.gov.tl/	East Timor
Ministry of the Presidency of the Council of Ministers	https://www.govdirectory.org/east-timor/Q110819177/	ministry of Timor-Leste		East Timor
Oe-Cusse Ambeno	https://www.govdirectory.org/east-timor/Q860639/	special administrative region in East Timor		East Timor
Aileu administrative post	https://www.govdirectory.org/east-timor/Q12874251/	administrative post of East Timor		East Timor
Ainaro administrative post	https://www.govdirectory.org/east-timor/Q17600814/	administrative post of East Timor		East Timor
Alas administrative post	https://www.govdirectory.org/east-timor/Q17800977/	administrative post of East Timor		East Timor
Atabae administrative post	https://www.govdirectory.org/east-timor/Q753027/	administrative post of East Timor		East Timor
Atauro administrative post	https://www.govdirectory.org/east-timor/Q20724749/	administrative post of East Timor		East Timor
Atsabe administrative post	https://www.govdirectory.org/east-timor/Q18681601/	administrative post of East Timor		East Timor
Baguia administrative post	https://www.govdirectory.org/east-timor/Q18194791/	administrative post of East Timor		East Timor
Balibo administrative post	https://www.govdirectory.org/east-timor/Q18335790/	administrative post of East Timor		East Timor
Barique administrative post	https://www.govdirectory.org/east-timor/Q18887906/	administrative post of East Timor		East Timor
Baucau administrative post	https://www.govdirectory.org/east-timor/Q17517363/	administrative post of East Timor		East Timor
Bazartete administrative post	https://www.govdirectory.org/east-timor/Q812658/	administrative post of East Timor		East Timor
Bobonaro administrative post	https://www.govdirectory.org/east-timor/Q17522698/	administrative post of East Timor		East Timor
Cailaco administrative post	https://www.govdirectory.org/east-timor/Q922083/	administrative post of East Timor		East Timor
Cristo Rei administrative post	https://www.govdirectory.org/east-timor/Q1140438/	administrative post of East Timor		East Timor
Dom Aleixo administrative post	https://www.govdirectory.org/east-timor/Q1236514/	administrative post of East Timor		East Timor
Ermera administrative post	https://www.govdirectory.org/east-timor/Q17488872/	administrative post of East Timor		East Timor
Fatuberlio administrative post	https://www.govdirectory.org/east-timor/Q18002967/	administrative post of East Timor		East Timor
Fatululic administrative post	https://www.govdirectory.org/east-timor/Q17572916/	administrative post of East Timor		East Timor
Fatumean administrative post	https://www.govdirectory.org/east-timor/Q1295231/	administrative post of East Timor		East Timor
Fohorem administrative post	https://www.govdirectory.org/east-timor/Q1435182/	administrative post of East Timor		East Timor
Hato-Udo administrative post	https://www.govdirectory.org/east-timor/Q18024838/	administrative post of East Timor		East Timor
Hatu-Builico administrative post	https://www.govdirectory.org/east-timor/Q18412268/	administrative post of East Timor		East Timor
Hatulia B Administrative Post	https://www.govdirectory.org/east-timor/Q110339259/	administrative post of East Timor		East Timor
Hatulia administrative post	https://www.govdirectory.org/east-timor/Q1589070/	administrative post of East Timor		East Timor
Iliomar administrative post	https://www.govdirectory.org/east-timor/Q1248198/	administrative post of East Timor		East Timor
Laclo administrative post	https://www.govdirectory.org/east-timor/Q1799782/	administrative post of East Timor		East Timor
Laclubar administrative post	https://www.govdirectory.org/east-timor/Q1799784/	administrative post of East Timor		East Timor
Lacluta administrative post	https://www.govdirectory.org/east-timor/Q624877/	administrative post of East Timor		East Timor
Laga administrative post	https://www.govdirectory.org/east-timor/Q18229381/	administrative post of East Timor		East Timor
Laleia administrative post	https://www.govdirectory.org/east-timor/Q17772613/	administrative post of East Timor		East Timor
Laulara	https://www.govdirectory.org/east-timor/Q17518126/	administrative post of East Timor		East Timor
Lautém administrative post	https://www.govdirectory.org/east-timor/Q1808758/	administrative post of East Timor		East Timor
Lequidoe	https://www.govdirectory.org/east-timor/Q18079947/	administrative post of East Timor		East Timor
Letefoho administrative post	https://www.govdirectory.org/east-timor/Q18706683/	administrative post of East Timor		East Timor
Liquiçá administrative post	https://www.govdirectory.org/east-timor/Q1827648/	administrative post of East Timor		East Timor
Loes	https://www.govdirectory.org/east-timor/Q127534849/	administrative post of East Timor		East Timor
Lolotoe administrative post	https://www.govdirectory.org/east-timor/Q1401514/	administrative post of East Timor		East Timor
Loré administrative post	https://www.govdirectory.org/east-timor/Q110339258/	administrative post of East Timor		East Timor
Lospalos administrative post	https://www.govdirectory.org/east-timor/Q17490369/	administrative post of East Timor		East Timor
Luro administrative post	https://www.govdirectory.org/east-timor/Q696173/	administrative post of East Timor		East Timor
Maliana administrative post	https://www.govdirectory.org/east-timor/Q17626477/	administrative post of East Timor		East Timor
Manatuto administrative post	https://www.govdirectory.org/east-timor/Q17634010/	administrative post of East Timor		East Timor
Maubara administrative post	https://www.govdirectory.org/east-timor/Q17614907/	administrative post of East Timor		East Timor
Maubisse administrative post	https://www.govdirectory.org/east-timor/Q17489164/	administrative post of East Timor		East Timor
Maucatar administrative post	https://www.govdirectory.org/east-timor/Q1718757/	administrative post of East Timor		East Timor
Metinaro administrative post	https://www.govdirectory.org/east-timor/Q1925653/	administrative post of East Timor		East Timor
Nain Feto administrative post	https://www.govdirectory.org/east-timor/Q1963852/	administrative post of East Timor		East Timor
Nitibe administrative post	https://www.govdirectory.org/east-timor/Q18011411/	administrative post of East Timor		East Timor
Oesilo administrative post	https://www.govdirectory.org/east-timor/Q18011414/	administrative post of East Timor		East Timor
Ossu administrative post	https://www.govdirectory.org/east-timor/Q17805800/	administrative post of East Timor		East Timor
Pante Makassar Administrative Post	https://www.govdirectory.org/east-timor/Q17986767/	administrative post of East Timor		East Timor
