"Name"	"Govdirectory URL"	"Type"	"Website"
""Ministry of Youth and Sports"	"https://www.govdirectory.org/indonesia/Q11047190/"	"ministry of Indonesia"	"https://www.kemenpora.go.id/"
""National Population and Family Planning Board"	"https://www.govdirectory.org/indonesia/Q11044562/"	"ministry of Indonesia"	"https://www.bkkbn.go.id/"
""Aceh Jaya"	"https://www.govdirectory.org/indonesia/Q5667/"	"regency of Indonesia"	"http://www.acehjayakab.go.id/"
""Aceh Singkil"	"https://www.govdirectory.org/indonesia/Q5672/"	"regency of Indonesia"	"http://www.acehsingkilkab.go.id/"
""Aceh Tamiang"	"https://www.govdirectory.org/indonesia/Q5678/"	"regency of Indonesia"	"http://www.acehtamiangkab.go.id/"
""Agam"	"https://www.govdirectory.org/indonesia/Q6019/"	"regency of Indonesia"	"https://agamkab.go.id/"
""Alor"	"https://www.govdirectory.org/indonesia/Q14131/"	"regency of Indonesia"	"http://www.alorkab.go.id/"
""Anambas Islands"	"https://www.govdirectory.org/indonesia/Q26759674/"	"regency of Indonesia"	"http://anambaskab.go.id/"
""Aru Islands"	"https://www.govdirectory.org/indonesia/Q16561/"	"regency of Indonesia"	""
""Asahan"	"https://www.govdirectory.org/indonesia/Q1795/"	"regency of Indonesia"	"http://www.asahankab.go.id/"
""Asmat"	"https://www.govdirectory.org/indonesia/Q27228/"	"regency of Indonesia"	"http://www.asmatkab.go.id/"
""Badung"	"https://www.govdirectory.org/indonesia/Q11482/"	"regency of Indonesia"	"http://www.badungkab.go.id/"
""Balangan"	"https://www.govdirectory.org/indonesia/Q14170/"	"regency of Indonesia"	"http://www.balangankab.go.id/"
""Bandung"	"https://www.govdirectory.org/indonesia/Q10332/"	"regency of Indonesia"	"http://www.bandungkab.go.id/"
""Banggai"	"https://www.govdirectory.org/indonesia/Q15810/"	"regency of Indonesia"	"http://banggaikab.go.id/"
""Banggai Islands"	"https://www.govdirectory.org/indonesia/Q15812/"	"regency of Indonesia"	""
""Banggai Laut"	"https://www.govdirectory.org/indonesia/Q12488339/"	"regency of Indonesia"	""
""Bangka"	"https://www.govdirectory.org/indonesia/Q8163/"	"regency of Indonesia"	"https://www.bangka.go.id/"
""Bangkalan"	"https://www.govdirectory.org/indonesia/Q11066/"	"regency of Indonesia"	""
""Bangli"	"https://www.govdirectory.org/indonesia/Q11491/"	"regency of Indonesia"	"http://www.banglikab.go.id/"
""Banjar"	"https://www.govdirectory.org/indonesia/Q14171/"	"regency of Indonesia"	"http://www.banjarkab.go.id/"
""Banjarnegara"	"https://www.govdirectory.org/indonesia/Q10604/"	"regency of Indonesia"	"http://www.banjarnegarakab.go.id/"
""Bantaeng"	"https://www.govdirectory.org/indonesia/Q14590/"	"regency of Indonesia"	"http://www.bantaeng.go.id/"
