"Name"	"Govdirectory URL"	"Type"	"Website"
""Department of Small Business Development"	"https://www.govdirectory.org/south-africa/Q110953437/"	"department of the South African government"	"http://www.dsbd.gov.za/"
""Department of Women, Youth and Persons with Disabilities"	"https://www.govdirectory.org/south-africa/Q110953959/"	"department of the South African government"	""
""Department of Telecommunications and Postal Services"	"https://www.govdirectory.org/south-africa/Q110953972/"	"department of the South African government"	"http://www.dtps.gov.za/"
""Government Pensions Administration Agency"	"https://www.govdirectory.org/south-africa/Q110954141/"	"department of the South African government"	"http://www.gpaa.gov.za/"
""The Department in Presidency"	"https://www.govdirectory.org/south-africa/Q110954263/"	"department of the South African government"	"http://www.thepresidency.gov.za/"
""Pan South African Language Board"	"https://www.govdirectory.org/south-africa/Q967935/"	"Chapter nine institutions"	""
""Electoral Commission of South Africa"	"https://www.govdirectory.org/south-africa/Q1468100/"	"Chapter nine institutions"	""
""Municipal Demarcation Board"	"https://www.govdirectory.org/south-africa/Q1952835/"	"Chapter nine institutions"	"http://www.demarcation.org.za/"
""Public Protector"	"https://www.govdirectory.org/south-africa/Q3043123/"	"Chapter nine institutions"	"https://www.pprotect.org/"
""Auditor-General"	"https://www.govdirectory.org/south-africa/Q4819972/"	"Chapter nine institutions"	"https://www.agsa.co.za/"
""Commission for Gender Equality"	"https://www.govdirectory.org/south-africa/Q5152646/"	"Chapter nine institutions"	""
""Commission for the Promotion and Protection of the Rights of Cultural, Religious and Linguistic Communities"	"https://www.govdirectory.org/south-africa/Q5152672/"	"Chapter nine institutions"	""
""Independent Communications Authority of South Africa"	"https://www.govdirectory.org/south-africa/Q6016491/"	"Chapter nine institutions"	"https://www.icasa.org.za/"
""South African Human Rights Commission"	"https://www.govdirectory.org/south-africa/Q7565704/"	"Chapter nine institutions"	""
""Public Service Commission"	"https://www.govdirectory.org/south-africa/Q110953352/"	"Chapter nine institutions"	"http://www.psc.gov.za/"
""Land Claims Court"	"https://www.govdirectory.org/south-africa/Q110962466/"	"Chapter nine institutions"	""
""Financial and Fiscal Commission"	"https://www.govdirectory.org/south-africa/Q110962480/"	"Chapter nine institutions"	"https://www.ffc.co.za/"
""KwaZulu-Natal"	"https://www.govdirectory.org/south-africa/Q81725/"	"province of South Africa"	"http://www.kwazulunatal.gov.za/"
""Western Cape"	"https://www.govdirectory.org/south-africa/Q127167/"	"province of South Africa"	"http://www.westerncape.gov.za/"
""Eastern Cape"	"https://www.govdirectory.org/south-africa/Q130840/"	"province of South Africa"	"https://ecprov.gov.za/"
""Mpumalanga"	"https://www.govdirectory.org/south-africa/Q132410/"	"province of South Africa"	"http://www.mpumalanga.gov.za/"
""Northern Cape"	"https://www.govdirectory.org/south-africa/Q132418/"	"province of South Africa"	"http://www.northern-cape.gov.za/"
""Gauteng"	"https://www.govdirectory.org/south-africa/Q133083/"	"province of South Africa"	"http://www.gautengonline.gov.za/"
""Limpopo"	"https://www.govdirectory.org/south-africa/Q134907/"	"province of South Africa"	"http://www.limpopo.gov.za/"
""Free State"	"https://www.govdirectory.org/south-africa/Q160284/"	"province of South Africa"	"http://www.freestateonline.fs.gov.za/"
""North West"	"https://www.govdirectory.org/south-africa/Q165956/"	"province of South Africa"	"http://www.nwpg.gov.za/"
""Garden Route District Municipality"	"https://www.govdirectory.org/south-africa/Q220249/"	"district municipality"	"http://www.gardenroute.gov.za/"
""King Cetshwayo District Municipality"	"https://www.govdirectory.org/south-africa/Q311668/"	"district municipality"	"http://www.uthungulu.org.za/Public/Home.aspx"
""iLembe District Municipality"	"https://www.govdirectory.org/south-africa/Q311794/"	"district municipality"	"http://www.ilembe.gov.za/"
""uMgungundlovu District Municipality"	"https://www.govdirectory.org/south-africa/Q311803/"	"district municipality"	"http://www.umdm.gov.za/"
""John Taolo Gaetsewe District Municipality"	"https://www.govdirectory.org/south-africa/Q384731/"	"district municipality"	""
""Amajuba District Municipality"	"https://www.govdirectory.org/south-africa/Q452565/"	"district municipality"	"http://www.amajuba.gov.za/"
""Amathole District Municipality"	"https://www.govdirectory.org/south-africa/Q455705/"	"district municipality"	""
""Harry Gwala District Municipality"	"https://www.govdirectory.org/south-africa/Q549746/"	"district municipality"	"http://www.sisonke.gov.za/"
""Mopani District Municipality"	"https://www.govdirectory.org/south-africa/Q611074/"	"district municipality"	""
""Namakwa District Municipality"	"https://www.govdirectory.org/south-africa/Q617646/"	"district municipality"	""
""Joe Gqabi District Municipality"	"https://www.govdirectory.org/south-africa/Q654849/"	"district municipality"	""
""Capricorn District Municipality"	"https://www.govdirectory.org/south-africa/Q692290/"	"district municipality"	"http://www.cdm.org.za/"
""Bojanala Platinum District Municipality"	"https://www.govdirectory.org/south-africa/Q891165/"	"district municipality"	"http://www.bojanala.gov.za/"
""Sarah Baartman District Municipality"	"https://www.govdirectory.org/south-africa/Q1024985/"	"district municipality"	""
""Central Karoo District Municipality"	"https://www.govdirectory.org/south-africa/Q1053888/"	"district municipality"	"http://www.skdm.co.za/"
""Chris Hani District Municipality"	"https://www.govdirectory.org/south-africa/Q1077283/"	"district municipality"	""
